"RowName","Distance"
"De Fryske Marren                        ",2971.19795537086
"Staphorst                               ",3628.97551521087
"Borne                                   ",3662.54981126537
"Rheden                                  ",4077.8282308111
"Goes                                    ",4222.97174866231
"Noordwijk                               ",4312.99156966484
"Lingewaard                              ",4316.40319479077
"Krimpenerwaard                          ",4455.76684758078
"Heusden                                 ",4492.05091912369
"Wijdemeren                              ",4551.97578969836
"Nuenen, Gerwen en Nederwetten           ",3102.53923585182
"Voorschoten                             ",4286.28523899192
"Wijk bij Duurstede                      ",4304.84264636932
"Drechterland                            ",5038.39355548969
"Stede Broec                             ",5252.51966012503
"Culemborg                               ",5268.43516710607
"Achtkarspelen                           ",5781.46704738512
"Dijk en Waard                           ",5867.69326311456
"Ommen                                   ",6054.09055432771
"Aalten                                  ",6351.78292686392
"Nederweert                              ",5454.14283091303
"Zeewolde                                ",7083.19956375648
"Veendam                                 ",7507.16558562551
"Veldhoven                               ",7872.8884800942
"Kapelle                                 ",9946.01397998213
"Gorinchem                               ",10932.044457008
"Assen                                   ",11071.5625496133
"Vijfheerenlanden                        ",11217.7005223887
"Hoogeveen                               ",12054.6451631726
"Bergen op Zoom                          ",12494.7864355498
"Echt-Susteren                           ",3781.88583249151
"Meierijstad                             ",4007.70435536355
"Beekdaelen                              ",4800.37811948184
"Texel                                   ",5003.08225596981
"Bodegraven-Reeuwijk                     ",5065.30800445541
"Berg en Dal                             ",5529.67151736882
"Boxtel                                  ",5610.80566229129
"Land van Cuijk                          ",6057.49593726649
"Hattem                                  ",6187.73480604979
"Gooise Meren                            ",6935.62031111854
"Bronckhorst                             ",3111.76349197686
"Midden-Delfland                         ",7020.51974358024
"Oisterwijk                              ",11106.0449922553
"Hoeksche Waard                          ",11966.0031046294
"Lisse                                   ",12171.408066859
"Opmeer                                  ",13616.436259903
"Berkelland                              ",14098.6148330253
"Westervoort                             ",14313.4861644534
"Steenbergen                             ",14896.4130937619
"Noord-Beveland                          ",15051.1321557549
"Bladel                                  ",951.330710110843
"Brummen                                 ",1556.8856862339
"Eemsdelta                               ",1733.69067021773
"Soest                                   ",1965.12392484545
"West Betuwe                             ",1979.40733049062
"Rijswijk                                ",2183.37935778462
"Dordrecht                               ",3121.88201891103
"Heemstede                               ",3198.47120668609
"Winterswijk                             ",3246.10356119456
"Dalfsen                                 ",3320.15664540094
"Best                                    ",2502.43322188625
