ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
11847;GM0177;Raalte                                  ;86;14;84;16;1.3;1.6;1.0;0.9;4;663
11904;GM0703;Reimerswaal                             ;87;13;83;17;1.2;0.8;0.6;0.6;4;512
11940;GM0274;Renkum                                  ;68;32;91;9;1.0;1.0;0.6;0.7;4;907
12007;GM0339;Renswoude                               ;86;14;66;34;1.1;1.1;1.0;0.9;5;480
12011;GM1667;Reusel-De Mierden                       ;89;11;80;20;1.4;2.2;0.8;0.7;4;559
12027;GM0275;Rheden                                  ;74;26;92;8;1.1;0.8;0.6;0.6;3;1452
12054;GM0340;Rhenen                                  ;80;20;80;20;0.9;0.9;0.8;0.7;4;918
12099;GM0597;Ridderkerk                              ;56;44;87;13;0.9;0.7;0.5;0.6;2;1731
12124;GM1742;Rijssen-Holten                          ;79;21;80;20;1.3;0.9;0.7;0.7;3;1092
12168;GM0603;Rijswijk                                ;29;71;89;11;0.7;0.6;0.4;0.6;1;3151
12212;GM1669;Roerdalen                               ;91;9;90;10;0.9;0.8;0.7;0.9;5;383
12243;GM0957;Roermond                                ;68;32;84;16;0.9;0.8;0.6;0.7;2;1500
12290;GM0736;De Ronde Venen                          ;81;19;88;12;1.1;1.0;0.9;0.9;4;869
12324;GM1674;Roosendaal                              ;76;24;89;11;0.8;0.9;0.6;0.7;2;1722
12394;GM0599;Rotterdam                               ;25;75;88;12;0.6;0.5;0.4;0.5;1;3945
12509;GM0277;Rozendaal                               ;98;2;90;10;1.2;1.3;0.6;0.7;4;935
12513;GM0840;Rucphen                                 ;92;8;87;13;1.1;0.8;0.8;0.9;4;663
12530;GM0441;Schagen                                 ;84;16;82;18;1.1;1.2;0.9;0.9;4;737
12625;GM0279;Scherpenzeel                            ;84;16;79;21;1.0;0.7;0.7;0.6;4;911
12630;GM0606;Schiedam                                ;31;69;90;10;0.9;0.5;0.4;0.5;1;3276
12693;GM0088;Schiermonnikoog                         ;80;20;89;11;0.4;0.5;0.4;0.5;5;317
12697;GM1676;Schouwen-Duiveland                      ;90;10;87;13;1.4;1.3;1.0;1.0;5;477
12765;GM0965;Simpelveld                              ;76;24;92;8;0.9;0.8;0.8;0.8;4;681
12777;GM1702;Sint Anthonis                           ;90;10;86;14;1.6;1.6;1.0;1.2;5;269
12798;GM0845;Sint-Michielsgestel                     ;88;12;84;16;1.2;1.2;0.6;0.7;4;625
12827;GM1883;Sittard-Geleen                          ;68;32;88;12;0.7;0.8;0.6;0.7;3;1493
12873;GM0610;Sliedrecht                              ;61;39;81;19;0.7;0.7;0.6;0.6;2;1651
12911;GM1714;Sluis                                   ;86;14;89;11;1.4;1.5;1.2;1.2;5;428
12962;GM0090;Smallingerland                          ;79;21;83;17;1.0;1.3;0.7;0.7;3;1340
12996;GM0342;Soest                                   ;65;35;91;9;0.8;0.7;0.6;0.7;3;1471
13034;GM0847;Someren                                 ;86;14;79;21;1.5;1.1;0.7;0.8;4;727
13052;GM0848;Son en Breugel                          ;87;13;82;18;1.3;0.8;0.8;0.7;4;685
13063;GM0037;Stadskanaal                             ;78;22;88;12;1.6;1.2;0.9;0.9;4;837
13096;GM0180;Staphorst                               ;84;16;82;18;1.9;2.2;1.1;1.1;5;355
13130;GM0532;Stede Broec                             ;90;10;85;15;1.0;0.7;0.9;0.6;3;1138
13140;GM0851;Steenbergen                             ;86;14;87;13;1.0;1.0;0.9;0.9;4;719
13164;GM1708;Steenwijkerland                         ;85;15;83;17;1.8;1.5;1.0;0.9;4;592
